x;y
4034.68235936161;4291.9338081616
8906.35472824608;8172.19629518514
3524.37104991395;3736.3852833786
5015.84541677739;5213.09452457039
7706.57348399314;7089.93429306373
6315.38656590083;6164.64975922834
9899.60870548204;8996.52696660384
4575.23561320474;5366.9320769267
1259.16204113235;1864.88893620514
7420.47143529127;7171.04537786826
2617.33014915428;3448.57428052522
8444.47938095104;7730.16911399369
4236.32510288679;4521.07022240761
4599.57288694184;4925.65179415373
2483.38529050409;3168.01458078268
4964.90649800638;6030.75417290519
1282.28581404935;2313.63990471059
5048.68190767789;5534.54242714408
3332.33971861719;4306.11868756051
7448.24146321129;7356.37339007175
7940.48238139322;7395.15747338642
6387.99061155563;5342.62382726005
2790.15870925952;3740.20384513433
4623.35698940377;4557.48624227849
6536.69022258423;6676.06007997081
1475.97724348035;1877.46534251136
4582.13107795255;4729.06638489785
7642.11662755598;6613.46339237005
4363.70952186543;4286.97023484394
5081.74561087022;5732.02893336519
7648.78808926836;6834.24585435671
7288.68570914196;6285.55515428766
5965.51575756437;6203.13620687023
5227.55697744324;5263.42031298882
1667.44653128274;2515.62668459344
4613.69682994135;4401.47666499608
2238.9738573081;3583.46097698072
5355.43860954788;5620.04964365068
6061.71432756013;5830.11980532395
424.775377446285;1658.12865214093
3182.00888852992;3854.15137572559
9965.91922904435;9262.82738845537
6575.22155101723;6316.03464521673
2468.39206730578;3128.29209130543
6116.30046791569;6353.0790920663
4716.93993631843;4874.11190561037
2705.35753585329;3393.46136533163
1394.68776902406;3044.40546910879
1971.3367785818;3161.05354475736
4747.3230862116;4845.1073192954
5818.15903898313;5867.8054313803
9921.15597499169;8907.27440283777
6796.61288294441;5482.54723340066
4698.59264959137;4907.97781963918
4573.90846508;4543.95194036177
6079.26738865213;6231.9611036671
5326.15802661733;5296.29251058474
5591.10425361555;5491.10728193456
2739.20645427667;4239.96940862313
4316.21983042508;4439.69357088276
3678.37413783299;4476.62536034184
6947.80298151044;7219.2167604169
4281.4974669823;4098.12131842716
4873.67152867043;5384.47410661713
5873.89184241823;4680.30938828964
5939.45132149401;4835.3567770764
5844.06570390189;5760.43288192459
6277.66666494454;6007.34763997949
5498.64437557697;4855.83520186391
7038.50349595628;6614.72220127276
7794.27625397311;7328.20453525551
7868.18130472177;7871.01937025324
6297.38170067953;5571.85480641534
6569.73920533804;6453.25827303477
4250.59640769877;2904.34613732506
5906.53367913954;5869.83703887519
9406.4099627694;8796.83359409358
1290.48805090399;1496.66623181188
5103.32124249136;5235.74472123704
2909.67400846768;4811.96514401925
6421.1840925719;6601.0014721322
5241.46018229876;4655.02961818069
7419.34808703119;6985.15299262263
5440.81422212531;5364.53370507336
7337.01011728128;6904.89540819047
7004.55941379659;6968.9250142499
7726.70226100662;6942.15088849656
3715.21966687585;4041.10461862017
2999.58206262249;3649.04958425989
8038.33560018599;6872.0707245344
5375.10274152641;5154.71080673122
6986.08413887874;6792.35954572973
7794.21816909474;7239.55380595281
2376.20275814594;3113.53564748978
4972.31100411985;5117.59757892215
2458.80488442416;1968.9216627383
7460.64396179981;6976.34025387014
3562.80172318872;4506.07307513501
4901.62055339649;4911.90416271981
6585.91640268064;6807.45315746945
1893.74980098342;2272.30837928052
3912.96628149562;4247.7038499237
6937.5690466012;6534.33824429804
4948.31508545511;4867.46963711535
2402.1751598578;1330.19738357652
6845.87010546566;6980.91404709628
4886.12607698799;7939.01012057508
6749.57623337332;6382.38847915216
6184.93959095431;6294.20761819853
7184.43864343982;6823.86464333476
7500.22156913077;7497.20228645474
5366.57198110696;5462.83834134782
3927.00595665782;4409.35492495588
5057.80177493125;5387.6004248274
2850.28724904113;4259.86453372162
3484.55037309935;3954.0038433464
6691.74384006378;5617.354634084
4172.9392532488;4405.65890870649
6424.73503869385;6490.50390617498
7363.76795801463;6836.2634915198
6288.90160859195;5771.65590306795
6297.15043632788;5923.76368240914
3133.61084062159;3428.46875728488
3862.0903851486;4731.29225441586
4618.40670624376;4826.00738706027
5195.09929092049;5608.24790706675
570.123800485698;2677.55236489972
7665.39357755512;7441.31865275633
8502.84496374169;7888.16641407783
4589.67818686988;5030.01397830215
4381.29358604743;4340.07810105056
5730.85985083805;5611.24537906665
3705.52140823209;3960.96254331972
6135.56880480698;5876.26188048635
5308.03079001557;5145.92305862008
4859.84262011504;5376.79402543044
4036.22502648043;4392.66658088962
9902.4216843684;9198.72809447392
5216.41439431434;3823.83431352773
5777.20208785007;5336.92572184981
3708.68749702198;4189.91721816515
2718.53147399579;3292.15063073929
6278.37306606562;6234.74895785147
4279.51723365589;4584.69394732403
2759.74835115711;3917.89450471926
3815.20278175158;2736.52102626876
8166.80472247314;7513.99111881744
818.315676942741;2178.03988478745
1213.38696544281;3245.0306284093
7096.52150128261;6540.20672624837
3751.05896603269;3828.77411283064
6926.27867790171;6466.7331035867
5551.12310168409;5549.11348544124
4666.62771597193;4946.17795353476
7558.13967874238;6604.13283867774
7910.00186017606;7909.00362495475
7880.06398629383;8240.25822241318
3183.10942724935;3095.44706737118
8363.94737826557;7992.37822384159
4834.43056200359;4829.95786357855
1177.34387947694;1825.54265831828
4763.04198982846;4828.95196958199
8052.23239796869;7820.93822672361
3167.7257394513;5469.88249154104
8793.23986738824;7937.24176461575
7571.03854772706;7095.7339286989
1123.45082336631;2195.81889977054
8639.58148802696;6982.31394076621
6404.08105192522;5485.54208516041
4327.91514933704;3688.06499344975
4820.56802118948;4766.0470448528
5115.06408609201;5202.63150509263
394.379661019783;1375.52085600141
6073.55373265853;5915.53961448311
5297.57080762789;5563.29573147007
3768.35215983941;3784.80417358027
385.719687976646;2204.50922966829
6515.80662863961;6219.6373943442
3381.03457836526;3935.26964961331
4628.36964757377;5189.13977269387
4370.01120449464;4976.60230850969
5219.91689932355;4143.46248686976
5913.60863743291;6697.04142938965
1033.09720087714;2621.98251303601
7154.13982154488;6832.55074289353
8182.17685930749;7258.66620936731
3365.06598382561;4181.72082040107
3824.80959168534;4374.61683481469
3621.57124386205;4129.78179345984
3386.37873882616;4022.81065418858
6074.53493275377;5917.43322975274
8526.04642586654;8106.44603818363
8713.47093820824;7776.46814809126
4993.26151627396;4828.10318964125
4498.98192613428;4718.3327118812
3454.6303376025;6192.24201007668
7502.76808204289;7016.68364730835
3988.61834859111;4956.11268495428
7375.24599040433;8810.39771414574
4965.64449971503;5077.35234278101
6645.09195576096;6641.00802959999
7305.40732004497;5986.60577815489
5170.0517123401;5467.16086922121
2356.44807540709;3026.51324492751
5668.98555758186;5560.02379381302
3459.54363762905;3873.66038357726
8443.40763950624;8036.23979414347
2166.77571131279;2970.70281106581
3747.16617971362;3659.27071530386
6829.07065943206;6394.11087429779
4261.17452604627;3559.37369969122
4931.3936053627;5260.54217595387
3445.27050232484;3148.9552871603
6422.38884767463;6328.12038127443
4080.82899984649;4057.10529596279
1678.29779380986;3232.69543251136
3041.13444471034;2024.32926879258
3871.14572730713;3041.83387016746
5417.54536428253;5438.83756667993
5417.01770857043;6471.3499729897
7663.61508410166;7064.18273151835
6652.08896945209;7596.25500588536
5515.62309825918;6392.70760224323
2893.14480164298;3569.9580318894
4474.41256857095;5016.04988547483
6317.51232759368;6136.30123127786
2462.20204953069;3211.60492777379
6545.0268476183;6274.17242867644
3910.71809994069;3960.66626770052
486.607149331238;1672.34423970697
6388.24925102655;5913.63528506975
3238.29139945438;3580.76541459188
5721.82422694671;5729.93999340102
5049.56067677826;5502.14020254818
5455.65592171633;5671.95112503819
7035.38391927102;6689.90395540397
4854.74722810423;5211.77227361064
6136.86255885642;6333.39955338964
4711.52204775362;4549.12997722751
3279.860600079;3897.16597210194
5298.03292751994;3309.51904022621
4292.02767076461;3881.17540379503
5597.78394155489;5648.95178832761
8078.16753262486;7352.61520939488
1601.66144065417;2745.90571862586
7267.50340863825;7676.41980172778
4516.22297916985;5260.68486635783
7102.32119106521;6678.59305720605
3943.52908003105;3827.90387927537
2898.67042254026;3541.62130231898
1771.83719239674;3802.80963386318
4261.42240009873;4619.82543574204
9188.82874471541;8309.23044500831
7579.8083394937;7032.98440173305
4757.54373653373;5003.15325965688
4844.94463259295;4119.65176196361
4295.25905535032;4253.57669296736
3185.0874814126;3737.81125729372
4471.99955772151;4804.42054957
5158.52406046043;5732.65820857387
5583.30948276547;5538.71348042988
5653.92253243157;5585.06672211795
5283.42080791349;5293.43957333916
6186.60398170258;5627.31878348141
3873.16135672776;4197.0064851288
6586.28718494232;7072.05599309624
2545.34890640668;3107.73383951235
3807.48598635113;3848.5013902469
5629.4030620674;6018.22330653819
9316.68154265175;9462.19619192617
4387.14506984382;4753.3926036946
5399.6545526132;5406.92066836665
5416.70160480178;5672.45518799989
4819.8463218962;4926.44942221406
5057.66104182668;4412.82481472922
5844.08452649317;6041.83139635804
2867.62573864943;3789.34223159525
4849.57091086355;4210.68430445043
5032.68015086257;5164.61191318893
656.593787240706;1897.96714367789
2223.23488204364;3108.93177520291
7006.56246093584;7683.10950403342
5595.16094905907;6382.41812409685
3412.75054384758;4096.57780837857
5844.9738317764;4826.0820116397
4138.94200197315;3706.33336352356
7896.12640048257;7398.63647694208
8096.68687713654;7024.87645432288
6394.45410362308;6235.96688640662
9317.61188046037;8238.79419696703
4641.94125355666;4635.85042007206
4811.04077695322;7148.51158457187
7400.49420856171;6922.88874006452
5690.98253811808;5421.67097860267
6869.03336844624;6532.09882298731
4393.03500214177;5314.47163301369
7623.78601532556;7255.09595079502
